,id,pool-id,user-id,fee-liquidated,liquidated-collateral-for-free,date,method
178,0x9a01dd4b62c1ec16beb211d7919c3a21897ba67a6f9e30db31b6b395f6c1f3c7:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8d8d912fe4db5917da92d14fea05225b803c359c,262,159613020000,2021-06-26 10:30:51,origination-fee-liquidation
179,0x4817dc27f067c4505e709bb8d7431a455b933c425fba909ff5fd3ddb2780e43a:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x9a3b2cbcf9c40df88269159dd7be5a528a48f831,700000000000000,414171968839,2021-06-26 09:18:59,origination-fee-liquidation
180,0x495f3fd8c0fe38d8ccf866968af03d02d2dd6386c2ffe3afe5530d78f4c405af:10,0x7fd53085b9a29d236235d6fc593b47c9c33429f1,0xa0bb038a8981fc526fecf3fcea8701312d932e86,13736569,10344331651412321,2021-06-26 08:19:58,origination-fee-liquidation
181,0x91e9c9a62b07a63b942dc2c233472e1afc69e000b105baa6d0b8f2cee6f075c1:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x41019a0cbc563baa587b5baf66c429f923ddb46e,102178441736375,57567476316610,2021-06-25 15:18:26,origination-fee-liquidation
182,0x2425a30ddd9b468b82b65e232f863be905e04912cd9b8ec1d1927d1e04db60b7:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x76afd547c5178d1b9b7a4123e298c39f49884e39,17237,9287967843000,2021-06-24 13:53:28,origination-fee-liquidation
183,0x25bcf530bca1858aa878ced80667c8fd6fa74120f6820c219cfa41b102600927:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x6aa3ca2f257f2edebd6a1934e5b614fe8822fce8,313592783309240,161,2021-06-24 07:47:33,origination-fee-liquidation
184,0x126602272c2dc7792d8c74bc9eec0613a428dd4c06f3c7733bea8b90b18522ed:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x8d8d912fe4db5917da92d14fea05225b803c359c,230525828628966,132083000874,2021-06-23 02:19:21,origination-fee-liquidation
185,0x341fe2b5911e7ac4ed7419b83c6eedee76d6cdfa8f81510092d825c65153c1bf:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xdbfdd975cfe231cbeefde1ec0bcb2cb28bcca063,306404924388241,173734809378,2021-06-23 02:11:11,origination-fee-liquidation
186,0xa5cae45d210b9786cf010389c9340220a24069eb9504e0d1bf95ac6c3ed2a9fd:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0xf2fd7673e6449fb79e8fb7ac95aa61611ba182fa,162,141658165069028,2021-06-22 21:40:46,origination-fee-liquidation
187,0xa84f7406655912ea516ac6d0af17365fdd5b18dd93b41200df62deda1eef5097:10,0x24a42fd28c976a61df5d00d0599c34c4f90748c8,0x0d9f4d0dabbfa76a5ccec6a1542326ca3da57ae5,3000000000000000,1836172443672,2021-06-22 15:57:28,origination-fee-liquidation
